"ID","Restaurant","Type","Description","Date","Time","Subtotal","Service","Delivery","Tax","Tip","Restaurant Total","Commission","Delivery Commission","Processing Fee","Withheld Tax","Targeted Promotion"
"O-736814912038874","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/14/21","4:43 PM","15.50","0","0.00","1.59","0","17.09","-0.78","-1.55","-0.67","-1.59","-5.00"
"O-756714858827968","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/8/21","12:00 PM","22.00","0","0.00","2.26","0","24.26","-1.10","-2.20","-1.04","-2.26","0"
"O-063815014317606","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/23/21","6:53 PM","17.50","0","0.00","1.79","0","19.29","-0.88","-1.75","-0.84","-1.79","-1.49"
"O-385214999392476","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/21/21","7:36 PM","13.50","0","0.00","1.38","0","14.88","-2.03","0","-0.75","-1.38","0"
"O-461815066636946","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","3:25 PM","12.00","0","0.00","1.23","0","13.23","-1.80","0","-0.70","-1.23","0"
"O-055914863673492","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/9/21","12:35 PM","12.00","0","0.00","1.23","0","13.23","-0.60","-1.20","-0.70","-1.23","0"
"O-881414822017228","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/5/21","1:41 PM","44.75","0","0.00","4.59","0","49.34","-2.24","-4.48","-1.80","-4.59","0"
"O-903714828972811","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/5/21","1:12 PM","13.00","0","0.00","1.33","0","14.33","-1.95","0","-0.74","-1.33","0"
"O-296315061881540","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/29/21","1:47 PM","15.50","0","0.00","1.08","0","16.58","-0.78","-1.55","-0.65","-1.08","-5.00"
"O-743514866955008","The Berliner Doner Kebab - 428 Westlake Ave N","Prepaid Order",,"4/9/21","1:30 PM","15.50","0","0.00","1.59","0","17.09","-0.78","-1.55","-0.78","-1.59","-1.49"
