Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Order Channel,Order Status,Order Date / Refund date,Order Accept Time,Food Sales (excluding tax),Tax on Food Sales,Food sales (including tax),Adjustments (excluding tax),Tax on Adjustments,Promo Spend on food,Tax on Promotion on Food,Special Offer - Delivery,Tax on Special Offer - Delivery,Bag Fee,Marketing Service Fee Adjustment,Total Sales after Adjustments (including tax),Uber Service Fee,Delivery Network Fee,Order Processing Fee,Merchant Fee,Tax on Merchant Fee,Gratuity,Misc Payment Description,Miscellaneous Payments,Marketplace Facilitator Tax,Backup Withholding Tax,Payout,Payout Date,Markup Amount,Markup Tax,Service Fee %
The Berliner Doner Kebab,,#A27AF,6ec49831-629b-4556-ba4b-4a80065a27af,Delivery - Partner Using Uber App,iOS,Completed,2021-05-10,11:21,36.25,3.71,39.96,0,0,0,0,0,0,0,0,39.96,-5.44,0,0,0,0,0,,0,-3.71,0,30.81,2021-05-17,0,0,15
The Berliner Doner Kebab,,#76706,626878a8-24db-418d-a6b5-b42985376706,Delivery - Partner Using Uber App,iOS,Completed,2021-05-10,11:04,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#ACD86,706c298c-22d6-47c4-bfa5-06b95b0acd86,Delivery - Partner Using Uber App,iOS,Completed,2021-05-10,12:20,24,2.47,26.47,0,0,0,0,0,0,0,0,26.47,-3.6,0,0,0,0,0,,0,-2.47,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#B14D3,d8b291ac-5b8a-466a-a683-c6f2ac5b14d3,Delivery - Partner Using Uber App,iOS,Completed,2021-05-10,12:29,24,2.46,26.46,0,0,0,0,0,0,0,0,26.46,-3.6,0,0,0,0,0,,0,-2.46,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#4D110,b46cd76a-13d3-470f-98e3-b97fb884d110,Pickup,Uber Eats Web,Completed,2021-05-10,11:57,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,,0,-1.13,0,11,2021-05-17,0,0,
The Berliner Doner Kebab,,#9ADC7,c7a59d59-6b09-434f-9ac2-d4b0c9e9adc7,Pickup,Android,Completed,2021-05-10,12:13,11,1.13,12.13,0,0,0,0,0,0,0,0,12.13,0,0,0,0,0,0,,0,-1.13,0,11,2021-05-17,0,0,
The Berliner Doner Kebab,,#87484,83f11c9d-a2d7-49f1-875f-440f04787484,Delivery - Partner Using Uber App,iOS,Completed,2021-05-11,11:06,24,2.46,26.46,0,0,0,0,0,0,0,0,26.46,-3.6,0,0,0,0,0,,0,-2.46,0,20.4,2021-05-17,0,0,15
The Berliner Doner Kebab,,#891F3,13757407-14ee-42de-b075-eb8c0b8891f3,Delivery - Partner Using Uber App,Android,Completed,2021-05-11,11:18,35,3.58,38.58,0,0,0,0,0,0,0,0,38.58,-5.25,0,0,0,0,0,,0,-3.58,0,29.75,2021-05-17,0,0,15
The Berliner Doner Kebab,,#5CF48,96dd3a77-0a6d-44d5-9b9f-28ed4b85cf48,Delivery - Partner Using Uber App,iOS,Completed,2021-05-11,11:33,15.25,1.57,16.82,0,0,0,0,0,0,0,0,16.82,-2.29,0,0,0,0,0,,0,-1.57,0,12.96,2021-05-17,0,0,15
The Berliner Doner Kebab,,#E53B7,693937c1-112b-410d-9592-882fdcfe53b7,Delivery - Partner Using Uber App,iOS,Completed,2021-05-11,11:51,16,1.65,17.65,0,0,0,0,0,0,0,0,17.65,-2.4,0,0,0,0,0,,0,-1.65,0,13.6,2021-05-17,0,0,15
